config_state,fsm_stage_descr,admin_peer_power_state,fsm_try,peer_comm_status,sacl,_ManagedObject__xtra_props,fsm_rmt_inv_err_descr,_handle,presence,thermal,lc_ts,oper_state,fsm_rmt_inv_err_code,fsm_prev,processor_thermal_state,_ManagedObject__status,fsm_status,serial,id,fe_ready_ts,child_action,fsm_stamp,fe_offline_ts,oper_qualifier_reason,base_addr,oper_evac_state,fsm_progr,fsm_flags,chassis_id,dn,usr_lbl,admin_power_state,_class_id,oper_qualifier,lc_name,rn,discovery,status,vid,vendor,power,flt_aggr,upgrade_status,switch_id,mfg_time,admin_state,fsm_rmt_inv_rslt,_ManagedObject__parent_mo,perf,peer_dn,_dirty_mask,collected_date,_ManagedObject__parent_dn,voltage,_ManagedObject__xtra_props_dirty_mask,fsm_descr,part_number,model,revision,_child,side,operability
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1595-1,1,never,,2016-12-22T09:18:27.552,never,N/A,127.5.1.0,,100,,1,sys/chassis-1/slot-1,,policy,EquipmentIOCard,,,slot-1,discovered,,,Cisco Systems Inc,not-supported,0,,A,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-1,not-supported,1,,,UCS-IOM-2208XP,0,[],left,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1604-1,1,never,,2016-12-22T09:21:28.154,never,N/A,127.5.2.0,,100,,2,sys/chassis-2/slot-1,,policy,EquipmentIOCard,,,slot-1,discovered,,,Cisco Systems Inc,not-supported,0,,A,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-2,not-supported,1,,,UCS-IOM-2208XP,0,[],left,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1596-1,1,never,,2016-12-22T09:25:07.055,never,N/A,127.5.3.0,,100,,3,sys/chassis-3/slot-1,,policy,EquipmentIOCard,,,slot-1,discovered,,,Cisco Systems Inc,not-supported,0,,A,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-3,not-supported,1,,,UCS-IOM-2208XP,0,[],left,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1597-1,1,never,,2016-12-22T09:27:32.206,never,N/A,127.5.4.0,,100,,4,sys/chassis-4/slot-1,,policy,EquipmentIOCard,,,slot-1,discovered,,,Cisco Systems Inc,not-supported,0,,A,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-4,not-supported,1,,,UCS-IOM-2208XP,0,[],left,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1598-1,1,never,,2016-12-22T09:30:33.145,never,N/A,127.5.5.0,,100,,5,sys/chassis-5/slot-1,,policy,EquipmentIOCard,,,slot-1,discovered,,,Cisco Systems Inc,not-supported,0,,A,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-5,not-supported,1,,,UCS-IOM-2208XP,0,[],left,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1599-1,1,never,,2016-12-22T09:33:33.913,never,N/A,127.5.6.0,,100,,6,sys/chassis-6/slot-1,,policy,EquipmentIOCard,,,slot-1,discovered,,,Cisco Systems Inc,not-supported,0,,A,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-6,not-supported,1,,,UCS-IOM-2208XP,0,[],left,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1600-1,1,never,,2016-12-22T09:36:35.265,never,N/A,127.5.7.0,,100,,7,sys/chassis-7/slot-1,,policy,EquipmentIOCard,,,slot-1,discovered,,,Cisco Systems Inc,not-supported,0,,A,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-7,not-supported,1,,,UCS-IOM-2208XP,0,[],left,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1601-1,1,never,,2016-12-23T01:36:20.147,never,N/A,127.5.8.0,,100,,8,sys/chassis-8/slot-1,,policy,EquipmentIOCard,,,slot-1,discovered,,,Cisco Systems Inc,not-supported,0,,A,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-8,not-supported,1,,,UCS-IOM-2208XP,0,[],left,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1602-1,1,never,,2016-12-22T09:42:34.555,never,N/A,127.5.9.0,,100,,9,sys/chassis-9/slot-1,,policy,EquipmentIOCard,,,slot-1,discovered,,,Cisco Systems Inc,not-supported,0,,A,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-9,not-supported,1,,,UCS-IOM-2208XP,0,[],left,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1603-1,1,never,,2016-12-22T09:45:35.047,never,N/A,127.5.10.0,,100,,10,sys/chassis-10/slot-1,,policy,EquipmentIOCard,,,slot-1,discovered,,,Cisco Systems Inc,not-supported,0,,A,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-10,not-supported,1,,,UCS-IOM-2208XP,0,[],left,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1595-2,2,never,,2016-12-22T09:49:24.876,never,N/A,127.6.1.0,,100,,1,sys/chassis-1/slot-2,,policy,EquipmentIOCard,,,slot-2,discovered,,,Cisco Systems Inc,not-supported,0,,B,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-1,not-supported,1,,,UCS-IOM-2208XP,0,[],right,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1604-2,2,never,,2016-12-22T09:52:25.343,never,N/A,127.6.2.0,,100,,2,sys/chassis-2/slot-2,,policy,EquipmentIOCard,,,slot-2,discovered,,,Cisco Systems Inc,not-supported,0,,B,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-2,not-supported,1,,,UCS-IOM-2208XP,0,[],right,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1596-2,2,never,,2016-12-22T09:55:25.631,never,N/A,127.6.3.0,,100,,3,sys/chassis-3/slot-2,,policy,EquipmentIOCard,,,slot-2,discovered,,,Cisco Systems Inc,not-supported,0,,B,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-3,not-supported,1,,,UCS-IOM-2208XP,0,[],right,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1597-2,2,never,,2016-12-22T09:58:25.911,never,N/A,127.6.4.0,,100,,4,sys/chassis-4/slot-2,,policy,EquipmentIOCard,,,slot-2,discovered,,,Cisco Systems Inc,not-supported,0,,B,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-4,not-supported,1,,,UCS-IOM-2208XP,0,[],right,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1598-2,2,never,,2016-12-22T10:01:26.105,never,N/A,127.6.5.0,,100,,5,sys/chassis-5/slot-2,,policy,EquipmentIOCard,,,slot-2,discovered,,,Cisco Systems Inc,not-supported,0,,B,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-5,not-supported,1,,,UCS-IOM-2208XP,0,[],right,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1599-2,2,never,,2016-12-22T10:04:26.592,never,N/A,127.6.6.0,,100,,6,sys/chassis-6/slot-2,,policy,EquipmentIOCard,,,slot-2,discovered,,,Cisco Systems Inc,not-supported,0,,B,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-6,not-supported,1,,,UCS-IOM-2208XP,0,[],right,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1600-2,2,never,,2016-12-22T10:07:26.900,never,N/A,127.6.7.0,,100,,7,sys/chassis-7/slot-2,,policy,EquipmentIOCard,,,slot-2,discovered,,,Cisco Systems Inc,not-supported,0,,B,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-7,not-supported,1,,,UCS-IOM-2208XP,0,[],right,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1601-2,2,never,,2016-12-23T01:36:20.147,never,N/A,127.6.8.0,,100,,8,sys/chassis-8/slot-2,,policy,EquipmentIOCard,,,slot-2,discovered,,,Cisco Systems Inc,not-supported,0,,B,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-8,not-supported,1,,,UCS-IOM-2208XP,0,[],right,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1602-2,2,never,,2016-12-22T10:13:27.616,never,N/A,127.6.9.0,,100,,9,sys/chassis-9/slot-2,,policy,EquipmentIOCard,,,slot-2,discovered,,,Cisco Systems Inc,not-supported,0,,B,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-9,not-supported,1,,,UCS-IOM-2208XP,0,[],right,operable
ok,,,0,connected,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,equipped,ok,1970-01-01T00:00:00.000,identify,none,FePresenceSuccess,,,nop,1603-2,2,never,,2016-12-22T10:16:28.038,never,N/A,127.6.10.0,,100,,10,sys/chassis-10/slot-2,,policy,EquipmentIOCard,,,slot-2,discovered,,,Cisco Systems Inc,not-supported,0,,B,not-applicable,,,,not-supported,,0,2016-12-28 06:58:40,sys/chassis-10,not-supported,1,,,UCS-IOM-2208XP,0,[],right,operable
