dn,presence,sacl,_ManagedObject__xtra_props,_handle,thermal,oper_state,operability,stepping,_ManagedObject__status,serial,speed,id,_class_id,child_action,oper_qualifier_reason,_ManagedObject__parent_dn,collected_date,location_dn,cores_enabled,rn,revision,status,vendor,power,visibility,threads,cores,arch,_ManagedObject__parent_mo,perf,_dirty_mask,_ManagedObject__xtra_props_dirty_mask,_child,socket_designation,model,voltage
sys/chassis-10/blade-1/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-10/blade-1/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-10/blade-5/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,3.330000,1,ProcessorUnit,,N/A,sys/chassis-10/blade-5/board,2016-12-28 06:58:40,,6,cpu-1,0,,Intel(R) Corporation,not-supported,yes,6,6,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz,not-supported
sys/chassis-10/blade-5/board/cpu-2,missing,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,removed,operable,unspecified,,,unspecified,2,ProcessorUnit,,N/A,sys/chassis-10/blade-5/board,2016-12-28 06:58:40,,unspecified,cpu-2,0,,,unknown,unknown,unspecified,unspecified,any,,unknown,0,1,[],,,unknown
sys/chassis-10/blade-4/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-10/blade-4/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-10/blade-4/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-10/blade-4/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-10/blade-2/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-10/blade-2/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-10/blade-2/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-10/blade-2/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-10/blade-3/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-10/blade-3/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-10/blade-3/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-10/blade-3/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-2/blade-2/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-2/blade-2/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-2/blade-2/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-2/blade-2/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-2/blade-1/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-2/blade-1/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-2/blade-1/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-2/blade-1/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-2/blade-3/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-2/blade-3/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-2/blade-3/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-2/blade-3/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-2/blade-5/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,3.330000,1,ProcessorUnit,,N/A,sys/chassis-2/blade-5/board,2016-12-28 06:58:40,,6,cpu-1,0,,Intel(R) Corporation,not-supported,yes,6,6,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz,not-supported
sys/chassis-2/blade-5/board/cpu-2,missing,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,removed,operable,unspecified,,,unspecified,2,ProcessorUnit,,N/A,sys/chassis-2/blade-5/board,2016-12-28 06:58:40,,unspecified,cpu-2,0,,,unknown,unknown,unspecified,unspecified,any,,unknown,0,1,[],,,unknown
sys/chassis-2/blade-4/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-2/blade-4/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-2/blade-4/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-2/blade-4/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-2/blade-6/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-2/blade-6/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-2/blade-6/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-2/blade-6/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-2/blade-8/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-2/blade-8/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-2/blade-8/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-2/blade-8/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-2/blade-7/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-2/blade-7/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-2/blade-7/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-2/blade-7/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-8/blade-2/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-8/blade-2/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-8/blade-2/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-8/blade-2/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-8/blade-1/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-8/blade-1/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-8/blade-1/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-8/blade-1/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-8/blade-4/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-8/blade-4/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-8/blade-4/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-8/blade-4/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-8/blade-5/board/cpu-2,missing,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,removed,operable,unspecified,,,unspecified,2,ProcessorUnit,,N/A,sys/chassis-8/blade-5/board,2016-12-28 06:58:40,,unspecified,cpu-2,0,,,unknown,unknown,unspecified,unspecified,any,,unknown,0,1,[],,,unknown
sys/chassis-8/blade-5/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,3.330000,1,ProcessorUnit,,N/A,sys/chassis-8/blade-5/board,2016-12-28 06:58:40,,6,cpu-1,0,,Intel(R) Corporation,not-supported,yes,6,6,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz,not-supported
sys/chassis-8/blade-3/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-8/blade-3/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-8/blade-3/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-8/blade-3/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-8/blade-6/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-8/blade-6/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-8/blade-6/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-8/blade-6/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-8/blade-8/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-8/blade-8/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-8/blade-8/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-8/blade-8/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-7/blade-6/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-7/blade-6/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-7/blade-6/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-7/blade-6/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-7/blade-1/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-7/blade-1/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-7/blade-1/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-7/blade-1/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-7/blade-2/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-7/blade-2/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-7/blade-2/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-7/blade-2/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-7/blade-3/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-7/blade-3/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-7/blade-3/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-7/blade-3/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-7/blade-4/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-7/blade-4/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-7/blade-4/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-7/blade-4/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-7/blade-8/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-7/blade-8/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-7/blade-8/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-7/blade-8/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz,not-supported
sys/chassis-7/blade-5/board/cpu-2,missing,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,removed,operable,unspecified,,,unspecified,2,ProcessorUnit,,N/A,sys/chassis-7/blade-5/board,2016-12-28 06:58:40,,unspecified,cpu-2,0,,,unknown,unknown,unspecified,unspecified,any,,unknown,0,1,[],,,unknown
sys/chassis-7/blade-5/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,3.330000,1,ProcessorUnit,,N/A,sys/chassis-7/blade-5/board,2016-12-28 06:58:40,,6,cpu-1,0,,Intel(R) Corporation,not-supported,yes,6,6,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz,not-supported
sys/chassis-8/blade-7/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-8/blade-7/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-8/blade-7/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-8/blade-7/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-7/blade-7/board/cpu-1,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,1,ProcessorUnit,,N/A,sys/chassis-7/blade-7/board,2016-12-28 06:58:40,,4,cpu-1,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU1,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
sys/chassis-7/blade-7/board/cpu-2,equipped,,{},<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,ok,operable,operable,4,,,2.930000,2,ProcessorUnit,,N/A,sys/chassis-7/blade-7/board,2016-12-28 06:58:40,,4,cpu-2,0,,Intel(R) Corporation,not-supported,yes,8,4,Xeon,,unknown,0,1,[],CPU2,Intel(R) Xeon(R) CPU E5-2470 0 @ 2.30GHz,not-supported
